Id	Word	Meaning	Pronunciation	AudioUrl
14	vocabulary	Từ vựng	/voʊˈkæb.jə.ler.i/	https://api.dictionaryapi.dev/media/pronunciations/en/vocabulary-us.mp3
15	show	Một vở kịch, điệu nhảy hoặc hình thức giải trí khác.	/ʃoʊ/	https://api.dictionaryapi.dev/media/pronunciations/en/show-us.mp3
16	home	Một ngôi nhà.	/hoʊm/	https://api.dictionaryapi.dev/media/pronunciations/en/home-us.mp3
27	computer	máy tính, máy vi tính	/kəmˈpjuː.t̬ɚ/	https://api.dictionaryapi.dev/media/pronunciations/en/computer-us.mp3
28	printer	máy in	/ˈprɪn.t̬ɚ/	
29	telephone	điện thoại, máy điện thoại	/ˈtel.ə.foʊn/	
30	photocopier	máy photocopy, máy sao chụp	/ˈfoʊ.t̬oʊˌkɑː.pi.ɚ/	
31	fax machine	máy fax	/fæks məˌʃiːn/	
32	meeting	cuộc họp, buổi gặp mặt	/ˈmiː.t̬ɪŋ/	
34	appointment	cuộc hẹn, sự bổ nhiệm	/əˈpɔɪnt.mənt/	
35	email	thư điện tử	/ˈiː.meɪl/	
36	correspondence	thư tín, sự trao đổi thư từ	/ˌkɔːr.əˈspɑːn.dəns/	
37	report	báo cáo, bản báo cáo	/rɪˈpɔːrt/	
39	paper	giấy	/ˈpeɪ.pɚ/	
40	pen	bút mực, bút bi	/pen/	https://api.dictionaryapi.dev/media/pronunciations/en/pen.mp3
41	paperclip	kẹp giấy	/ˈpeɪ.pɚ.klɪp/	
42	folder	bìa hồ sơ, thư mục (máy tính)	/ˈfoʊl.dɚ/	
43	manager	giám đốc, người quản lý	/ˈmæn.ə.dʒɚ/	
44	secretary	thư ký	/ˈsek.rə.ter.i/	
45	employee	nhân viên, người lao động	/ɪmˈplɔɪ.iː/	
46	staff	nhân viên, đội ngũ nhân viên (danh từ tập hợp)	/stæf/	
47	assistant	trợ lý, phụ tá	/əˈsɪs.tənt/	
48	hello	"Xin chào!" hoặc một lời chào tương đương.	/həˈləʊ/	https://api.dictionaryapi.dev/media/pronunciations/en/hello-au.mp3
82	stapler	cái dập ghim	/ˈsteɪ.plɚ/	
83	cubicle	vách ngăn văn phòng	/ˈkjuː.bɪ.kəl/	
84	agreement	hợp đồng, thỏa thuận	/əˈɡriː.mənt/	
85	clause	điều khoản (trong hợp đồng)	/klɑːz/	
86	terminate	chấm dứt (hợp đồng)	/ˈtɝː.mə.neɪt/	
87	campaign	chiến dịch (quảng cáo, tiếp thị)	/kæmˈpeɪn/	
88	target audience	khán giả mục tiêu, đối tượng khách hàng mục tiêu	/ˌtɑːr.ɡɪt ˈɑː.di.əns/	
89	brand awareness	mức độ nhận diện thương hiệu	/ˌbrænd əˈwer.nəs/	
90	agenda	chương trình nghị sự	/əˈdʒen.də/	
91	approve	phê duyệt, chấp thuận	/əˈpruːv/	
92	arrange	sắp xếp, thu xếp	/əˈreɪndʒ/	
93	attend	tham dự	/əˈtend/	
94	bulletin board	bảng thông báo	/ˈbʊl.ə.t̬ɪn ˌbɔːrd/	
95	calculator	máy tính bỏ túi	/ˈkæl.kjə.leɪ.t̬ɚ/	
96	calendar	lịch	/ˈkæl.ən.dɚ/	
97	cancel	hủy bỏ	/ˈkæn.səl/	
98	colleague	đồng nghiệp	/ˈkɑː.liːɡ/	
99	conference	hội nghị	/ˈkɑːn.fɚ.əns/	
